P0001,"Fuel Volume Regulator ""A"" Control Circuit/Open"
P0002,"Fuel Volume Regulator ""A"" Control Circuit Performance"
P0003,"Fuel Volume Regulator ""A"" Control Circuit Low"
P0004,"Fuel Volume Regulator ""A"" Control Circuit High"
P0005,"Fuel Shutoff Valve ""A"" Control Circuit/Open"
P0006,"Fuel Shutoff Valve ""A"" Control Circuit Low"
P0007,"Fuel Shutoff Valve ""A"" Control Circuit High"
P0008,Engine Position System Performance Bank 1
P0009,Engine Position System Performance Bank 2
P000A,"""A"" Camshaft Position Slow Response Bank 1"
P000B,"""B"" Camshaft Position Slow Response Bank 1"
P000C,"""A"" Camshaft Position Slow Response Bank 2"
P000D,"""B"" Camshaft Position Slow Response Bank 2"
P000E,Fuel Volume Regulator Control Exceeded Learning Limit
P000F,Fuel System Over Pressure Relief Valve Activated
P0010,"""A"" Camshaft Position Actuator ""A"" Control Circuit/Open Bank 1"
P0011,"""A"" Camshaft Position - Timing Over-Advanced or System Performance Bank 1"
P0012,"""A"" Camshaft Position - Timing Over-Retarded Bank 1"
P0013,"""B"" Camshaft Position Actuator ""A"" Control Circuit/Open Bank 1"
P0014,"""B"" Camshaft Position - Timing Over-Advanced or System Performance Bank 1"
P0015,"""B"" Camshaft Position - Timing Over-Retarded Bank 1"
P0016,"""Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A"""
P0017,"""Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B"""
P0018,"""Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A"""
P0019,"""Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B"""
P001A,"""A"" Camshaft Profile Actuator ""A"" Control Circuit/Open Bank 1"
P001B,"""A"" Camshaft Profile Actuator ""A"" Control Circuit Low Bank 1"
P001C,"""A"" Camshaft Profile Actuator ""A"" Control Circuit High Bank 1"
P001D,"""A"" Camshaft Profile Actuator ""A"" Control Circuit/Open Bank 2"
P001E,"""A"" Camshaft Profile Actuator ""A"" Control Circuit Low Bank 2"
P001F,"""A"" Camshaft Profile Actuator ""A"" Control Circuit High Bank 2"
P0020,"""A"" Camshaft Position Actuator ""A"" Control Circuit/Open Bank 2"
P0021,"""A"" Camshaft Position - Timing Over-Advanced or System Performance Bank 2"
P0022,"""A"" Camshaft Position - Timing Over-Retarded Bank 2"
P0023,"""B"" Camshaft Position Actuator ""A"" Control Circuit/Open Bank 2"
P0024,"""B"" Camshaft Position - Timing Over-Advanced or System Performance Bank 2"
P0025,"""B"" Camshaft Position - Timing Over-Retarded Bank 2"
P0026,Intake Valve Control Solenoid Circuit Range/Performance Bank 1
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1
P0028,Intake Valve Control Solenoid Circuit Range/Performance Bank 2
P0029,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2
